Day,Week,Weekday,Type,Label,Figure,Unit,Text
1,1,MONDAY,Coach's note,Coach's note - The push press,,,"Shoulder to Overhead permits a dip and drive. That is worth twenty to thirty per cent over a strict press for most trained athletes, which is why every benchmark built on strict press understates this event. Dip shallow and vertical, drive through the whole foot, and move the head through as the bar passes. The legs start the lift and the arms finish it."
2,1,TUESDAY,The standard,The standard - SkiErg,,,"The damper may be adjusted before and during the workout. Find your setting in training and write it down, since venue machines vary and it saves a decision on the day. Most athletes settle between 5 and 8 at a stroke rate of 34 to 42."
3,1,WEDNESDAY,Score impact,Score impact,,,"Your score is the sum of three placings, and the lowest total wins. The best available result in a zone is one point; the worst is the size of the field. Strong results are capped at one point, while weak ones are not, which is why consistency matters."
4,1,THURSDAY,Kit,Kit - What you may use,,,"Permitted on the strength floor: chalk (bring your own), knee sleeves, elbow sleeves, weightlifting belt, weightlifting shoes, wrist wraps. Banned: lifting straps, hand grips, knee wraps, elbow wraps, and any supportive suit or briefs."
5,1,FRIDAY,No rep,No rep - Dumbbells,,,"Dumbbells must be placed on the floor once your reps are complete, and dropping them is a no rep. Letting go is a natural reaction at the end of a hard set, so it is worth practising the controlled finish in training."
6,1,SATURDAY,The number,The number,24,min,"The Endurance Zone cap is fixed. Whatever time the run takes is subtracted from your ski time, and only the ski scores. That single fact is why the zone is one continuous effort, not two events."
7,1,SUNDAY,Coach's note,Coach's note - Easy means easy,,,"Running easy sessions too quickly turns a recovery day into a moderate one, which tends to leave you flat for the sessions that matter later in the week. The test is full sentences without pausing for breath. If in doubt, slow down."
8,2,MONDAY,The standard,The standard - Deadlift,,,"Hands must be outside the knees. Sumo deadlifts are not permitted. Double overhand, mixed and hook grip are all allowed. The Base phase is a good time to settle into a conventional stance, rather than adjusting to it later in the plan."
9,2,TUESDAY,Coach's note,"Coach's note - Hip hinge, not arm pull",,,"The SkiErg is driven by the hips. Load the hinge, snap it closed, and let the arms follow through. If your arms fatigue before your trunk does, the pull is coming from the arms, which is difficult to sustain for twelve minutes."
10,2,WEDNESDAY,The number,The number,4.17,m,"What one second of run time is worth on the ski, at a 2:00 per 500 m pace. Save forty-five seconds on the buy-in and you gain roughly 187 metres of score. Nothing else in this sport converts so directly."
11,2,THURSDAY,Kit,Kit - Lifting straps are banned,,,"You may not use straps or hand grips. That makes grip a genuine limiter on your deadlift and on the sandbag carry. That is why Tuesday carries a grip block every week, as competition preparation rather than general accessory work."
12,2,FRIDAY,No rep,No rep - Sandbag carry,,,"Both feet must clearly pass the turn line and the finish line. Touching the line does not count. Turning early is easy to do when breathing hard, so it is worth running through the line rather than to it."
13,2,SATURDAY,From the floor,From the floor - Transition habit,,,"The first thirty seconds off the run is where the time gained on the buy-in is most easily given back. Reset posture within three strides of reaching the machine, take one deliberate breath, and start at pace rather than pausing to gather yourself."
14,2,SUNDAY,Score impact,Score impact,,,Rank points are cheapest where the field is densest. The same improvement is worth roughly three times as many placings from mid-pack as it is from the top seven per cent. Placings are easiest to gain where you currently sit furthest back.
15,3,MONDAY,The standard,The standard - Back squat,,,"The hip crease must pass below the top of the knee. A rep only counts when you return to full extension of hips and knees. Depth is judged rather than estimated, so it is worth filming a set this week to check."
16,3,TUESDAY,No rep,No rep - Back squat - the walk-in,,,"On your final rep you must be fully extended and given the rep verbally before you walk the bar back to the rack. Walk early and the rep does not count. Re-rack it and you start again from zero. This is one of the more costly errors available in the Strength Zone, and it is entirely avoidable."
17,3,WEDNESDAY,Coach's note,Coach's note - Bench press endurance,,,"DB bench press was not in the 2026 format, so it is new to most people entering in 2027. Running, HYROX and general conditioning backgrounds rarely build horizontal pressing endurance. Thirty reps is a local endurance demand rather than a strength one, and it responds quickly to targeted work."
18,3,THURSDAY,The number,The number,30,sec,"The time penalty for letting go of the erg handles in a manner that could damage the machine. Bring the handle high and release it gently, in training as well as in competition."
19,3,FRIDAY,Kit,Kit - Footwear and sleeves,,,"Footwear must be worn. One pair of knee sleeves only - not two, and they may not be rolled to increase thickness. Headphones and earbuds are not permitted anywhere on the competition floor, so if you usually train with music it is worth doing some sessions without it."
20,3,SATURDAY,From the floor,From the floor - Pacing the buy-in,,,"Common advice suggests the first four minutes should feel almost easy. In this format that reduces the ski time available, which is where the score comes from. Run the buy-in at or above your 10 km race pace from the start."
21,3,SUNDAY,Score impact,Score impact,,,"An athlete who wins two zones and finishes fortieth in the third scores 42. An athlete who finishes twelfth, fourteenth and fifteenth scores 41 and beats them. A strong result in one zone cannot be carried across to offset a weak one."
22,4,MONDAY,Coach's note,Coach's note - Deload honestly,,,"The purpose of a deload is to let accumulated fatigue clear so the next phase starts on a recovered athlete, which is why the reduced load is worth keeping to. Feeling good on a light week is a sign it is working rather than evidence that more was needed."
23,4,TUESDAY,The standard,The standard - Ground to overhead,,,"A snatch or a clean and jerk are both permitted. If you split snatch, both feet must return in line under your body while the dumbbell is locked out. Pick one method and train it, since switching technique under fatigue tends to cost reps."
24,4,WEDNESDAY,The number,The number,39,m,"The transition tax. Ski two minutes at ten seconds per 500 m slower than steady after a hard run and you lose about 39 metres. Set against the 187 metres a faster buy-in earns you, the tax is roughly one fifth of the benefit. Run hard."
25,4,THURSDAY,Kit,Kit - Collars and plates,,,"Collars must be placed outside the plates on every barbell lift, warm-ups included. Unused plates must be inside the rig and off the lifting area. Small details, but a judge will stop you for them and the clock keeps running."
26,4,FRIDAY,No rep,No rep - Ground to overhead - the non-lifting hand,,,"Your free hand may not make contact with your legs or any other part of your body during the rep. Bracing a hand on the thigh under fatigue is a natural reaction and it is a no rep, so it is worth training with the free arm out."
