Day,Week,Phase,Weekday,Date,Date (long),Session,Session type,Garmin sport,Shape,Load,Purpose,Fuel,Daily macros,Hydration,Electrolytes,Recovery category,Recovery guidance,Teaching block,Teaching text,Log 1,Log 2,Log 3
1,1,Base Phase,MONDAY,2026-11-02,Mon 02 Nov 2026,AEROBIC RUN + UPPER ACCUMULATION,Run + Upper strength,running / strength_training,Double,Moderate,"Aerobic volume builds the base every later phase draws on. Upper work runs at accumulation loads. Run first, lift six hours later.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - The push press,"Shoulder to Overhead permits a dip and drive. That is worth twenty to thirty per cent over a strict press for most trained athletes, which is why every benchmark built on strict press understates this event. Dip shallow and vertical, drive through the whole foot, and move the head through as the bar passes. The legs start the lift and the arms finish it.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
2,1,Base Phase,TUESDAY,2026-11-03,Tue 03 Nov 2026,SKI TECHNIQUE + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"The Endurance Zone is scored on ski metres alone, so this phase is about learning to produce them efficiently before working on producing them quickly.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",The standard - SkiErg,"The damper may be adjusted before and during the workout. Find your setting in training and write it down, since venue machines vary and it saves a decision on the day. Most athletes settle between 5 and 8 at a stroke rate of 34 to 42.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
3,1,Base Phase,WEDNESDAY,2026-11-04,Wed 04 Nov 2026,EASY AEROBIC + LOWER ACCUMULATION,Aerobic + Lower strength,running / strength_training,Double,High,"Endurance first, the lift six hours later, so the metabolic signalling from the run has returned to baseline before you load. Refuelling in between is what makes that true.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",Score impact,"Your score is the sum of three placings, and the lowest total wins. The best available result in a zone is one point; the worst is the size of the field. Strong results are capped at one point, while weak ones are not, which is why consistency matters.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
4,1,Base Phase,THURSDAY,2026-11-05,Thu 05 Nov 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Kit - What you may use,"Permitted on the strength floor: chalk (bring your own), knee sleeves, elbow sleeves, weightlifting belt, weightlifting shoes, wrist wraps. Banned: lifting straps, hand grips, knee wraps, elbow wraps, and any supportive suit or briefs.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
5,1,Base Phase,FRIDAY,2026-11-06,Fri 06 Nov 2026,METCON MOVEMENT WORK,MetCon circuit,hiit,Single,Moderate,Learn the movements at manageable load before you meet them at competition weight. Bench press and the sandbag squat-to-carry sequence are the two elements that most often need extra work.,"Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Dumbbells,"Dumbbells must be placed on the floor once your reps are complete, and dropping them is a no rep. Letting go is a natural reaction at the end of a hard set, so it is worth practising the controlled finish in training.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
6,1,Base Phase,SATURDAY,2026-11-07,Sat 07 Nov 2026,LONG AEROBIC + SKI INTRODUCTION,Run to ski transition,running / cardio_training,Single,Moderate,"Time on feet plus a first exposure to skiing on tired legs. In the Development phase this becomes the most specific session in the book, so build the habit now.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",The number,"The Endurance Zone cap is fixed. Whatever time the run takes is subtracted from your ski time, and only the ski scores. That single fact is why the zone is one continuous effort, not two events.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
7,1,Base Phase,SUNDAY,2026-11-08,Sun 08 Nov 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,Aerobic maintenance and active clearance of yesterday. The only way to get this day wrong is to go too hard.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Coach's note - Easy means easy,"Running easy sessions too quickly turns a recovery day into a moderate one, which tends to leave you flat for the sessions that matter later in the week. The test is full sentences without pausing for breath. If in doubt, slow down.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
8,2,Base Phase,MONDAY,2026-11-09,Mon 09 Nov 2026,AEROBIC RUN + UPPER ACCUMULATION,Run + Upper strength,running / strength_training,Double,Moderate,"Aerobic volume builds the base every later phase draws on. Upper work runs at accumulation loads. Run first, lift six hours later.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",The standard - Deadlift,"Hands must be outside the knees. Sumo deadlifts are not permitted. Double overhand, mixed and hook grip are all allowed. The Base phase is a good time to settle into a conventional stance, rather than adjusting to it later in the plan.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
9,2,Base Phase,TUESDAY,2026-11-10,Tue 10 Nov 2026,SKI TECHNIQUE + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"The Endurance Zone is scored on ski metres alone, so this phase is about learning to produce them efficiently before working on producing them quickly.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.","Coach's note - Hip hinge, not arm pull","The SkiErg is driven by the hips. Load the hinge, snap it closed, and let the arms follow through. If your arms fatigue before your trunk does, the pull is coming from the arms, which is difficult to sustain for twelve minutes.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
10,2,Base Phase,WEDNESDAY,2026-11-11,Wed 11 Nov 2026,EASY AEROBIC + LOWER ACCUMULATION,Aerobic + Lower strength,running / strength_training,Double,High,"Endurance first, the lift six hours later, so the metabolic signalling from the run has returned to baseline before you load. Refuelling in between is what makes that true.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"What one second of run time is worth on the ski, at a 2:00 per 500 m pace. Save forty-five seconds on the buy-in and you gain roughly 187 metres of score. Nothing else in this sport converts so directly.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
11,2,Base Phase,THURSDAY,2026-11-12,Thu 12 Nov 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Kit - Lifting straps are banned,"You may not use straps or hand grips. That makes grip a genuine limiter on your deadlift and on the sandbag carry. That is why Tuesday carries a grip block every week, as competition preparation rather than general accessory work.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
