Day,Week,Weekday,Date,Session,Period,Block,Order,Element,Lite,ATHX,Pro,Effort,Note
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,1,Main,25 min easy,30 min easy,35 min easy,,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,,Note,,,,,Warm-up 8 min easy. Main set at conversational. Cool-down 5 min easy. Full sentences throughout.
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,1,A1 Push Press,4 x 6,4 x 6,4 x 6,3 RIR,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,4 x 8,4 x 8,4 x 8,3 RIR,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),3 x 12,3 x 12,3 x 12,-,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,3 x 12,3 x 12,3 x 12,3 RIR,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 10,3 x 10,3 x 10,3 RIR,
1,1,MONDAY,2026-11-02,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"Push press, not strict press."
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,1,Warm-up,4 min easy,4 min easy,4 min easy,,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,2,Main,12 min,15 min,18 min,,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,3,at,"steady, nasal-capable","steady, nasal-capable","steady, nasal-capable",,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,4,Cool-down,4 min easy,4 min easy,4 min easy,,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,,Note,,,,,Damper between 5 and 8. Stroke rate 34-42. Drive from the hip hinge and let the arms follow. Film yourself once this phase.
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
2,1,TUESDAY,2026-11-03,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 40 s,3 x 40 s,3 x 40 s,-,
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,AM,AM - EASY AEROBIC  |  35 MIN,,Note,,,,,"Zone 2 run or bike. Conversational throughout. If in doubt, go slower."
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,1,A Back Squat,4 x 6,4 x 6,4 x 6,3 RIR,
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,2,B Deadlift,4 x 5,4 x 5,4 x 5,3 RIR,
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 10 each leg,3 x 10 each leg,3 x 10 each leg,3 RIR,
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 25 s each side,3 x 25 s each side,3 x 25 s each side,-,
3,1,WEDNESDAY,2026-11-04,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"No sumo. Hands outside the knees, as competition requires. Build the habit now."
4,1,THURSDAY,2026-11-05,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
4,1,THURSDAY,2026-11-05,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
4,1,THURSDAY,2026-11-05,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,10 @ 7.5 kg,12 @ 12.5 kg,12 @ 15 kg,,
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,10 @ 7.5 kg,12 @ 12.5 kg,12 dual @ 15 kg,,
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,10 @ 20 kg,12 @ 30 kg,12 @ 50 kg,,
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,2,3,3,,
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,The carry follows the squats with no break. Do not set the bag down between them. That is the sequence you will meet in competition.
5,1,FRIDAY,2026-11-06,METCON MOVEMENT WORK,Main,FINISHER,,Note,,,,,"300 m row, controlled. Not a time trial this phase."
6,1,SATURDAY,2026-11-07,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,1,Duration,40 min,50 min,60 min,,
6,1,SATURDAY,2026-11-07,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,2,at,easy aerobic,easy aerobic,easy aerobic,,
6,1,SATURDAY,2026-11-07,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,1,Duration,5 min,6 min,8 min,,
6,1,SATURDAY,2026-11-07,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,2,at,steady,steady,steady,,
6,1,SATURDAY,2026-11-07,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,,Note,,,,,Transition without pausing. Note how the first ninety seconds feel. That sensation is what the Development phase trains away.
7,1,SUNDAY,2026-11-08,EASY AEROBIC,Main,,1,Duration,30 min,40 min,50 min,,
7,1,SUNDAY,2026-11-08,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,run / bike / hike,run / bike / hike,,
7,1,SUNDAY,2026-11-08,EASY AEROBIC,Main,,,Note,,,,,"Conversational the entire time. If your legs are sore from yesterday, walking or riding instead of running is the better choice."
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,1,Main,30 min easy,35 min easy,40 min easy,,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,,Note,,,,,Warm-up 8 min easy. Main set at conversational. Cool-down 5 min easy. Full sentences throughout.
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,1,A1 Push Press,4 x 6,4 x 6,4 x 6,2 RIR,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,4 x 8,4 x 8,4 x 8,3 RIR,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),3 x 15,3 x 15,3 x 15,-,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,3 x 12,3 x 12,3 x 12,3 RIR,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 10,3 x 10,3 x 10,3 RIR,
8,2,MONDAY,2026-11-09,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"Push press, not strict press."
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,1,Warm-up,4 min easy,4 min easy,4 min easy,,
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,2,Main,15 min,20 min,22 min,,
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,3,at,"steady, nasal-capable","steady, nasal-capable","steady, nasal-capable",,
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,4,Cool-down,4 min easy,4 min easy,4 min easy,,
