MetCon X,Lite,ATHX,Pro
"Row, each end",30 cal,35 cal,35 cal
DB Ground to Overhead,30 @ 7.5 kg,30 @ 12.5 kg,30 dual @ 15 kg
DB Bench Press,30 @ 7.5 kg,30 @ 12.5 kg,30 @ 15 kg
Sandbag Squats,30 @ 20 kg,30 @ 30 kg,30 @ 50 kg
Sandbag Carry,30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg
Burpees over bench,30,30,30
Endurance Zone,Lite,ATHX,Pro
Run buy-in,2.4 km,3 km,3 km
Then,Max ski,Max ski,Max ski
Time cap,24 min,24 min,24 min
Score,Ski metres,Ski metres,Ski metres
Strength Zone,Window,Scoring,
1RM Shoulder to Overhead,0-5 min,Heaviest single,
2RM Back Squat,5-10 min,Heaviest double,
3RM Deadlift,10-15 min,Average of two 1-minute windows,
Benchmarks (% bodyweight),Competitive,Advanced,Elite
1RM Shoulder to Overhead,60-70%,70-80%,>80%
2RM Back Squat,110-130%,130-155%,>155%
3RM Deadlift,135-160%,160-185%,>185%
Strength total (x BW),3.1-3.6,3.6-4.2,>4.2
Key figures,,,
Endurance Zone cap,"Twenty-four minutes, which is 1,440 seconds",,
Value of 15 s/km on the 3 km buy-in,161 metres,,
Value of one second saved on the run,4.17 metres,,
Reference ski pace used,2:20 per 500 m,,
"Total working time, all zones",Around sixty-nine minutes,,
