"id","programName","programDescription","programType","targetRace","workoutDay","workoutTitle","sessionType","garminSport","exerciseName","exerciseDetails","garminExerciseCategory","garminExerciseName","weightKg","restSeconds","sets","reps","runType","runDistance","runPaceZone","runDescription","runEffortLevel","noIntervals"
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Aerobic Run","35 min easy","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note","Warm-up 8 min easy. Main set at conversational. Cool-down 5 min easy. Full sentences throughout.","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Week 1 of 12 — Base Phase","WEEK 1 OF 4, week commencing 2026-11-02.
What changes: You are building the platform, not testing it. Four weeks of aerobic volume, ski technique and strength accumulation. Nothing here should feel maximal.
One priority: Benchmark carefully in Week 1, since every number you record now is what the following eleven weeks are measured against.
If you miss a session: Drop it and move on. Nothing in this phase is irreplaceable, and doubling up usually costs more than the missed session was worth. If two are missed in a week, repeating the week is the better option.
Looking ahead: Week 2 adds roughly ten per cent across the board. Same shape, more of it.
Volume: run 1h55 · ski 25m · 2 lift sessions · 5h00 total","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Why this session","Aerobic volume builds the base every later phase draws on. Upper work runs at accumulation loads. Run first, lift six hours later.","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · The push press","Shoulder to Overhead permits a dip and drive. That is worth twenty to thirty per cent over a strict press for most trained athletes, which is why every benchmark built on strict press understates this event. Dip shallow and vertical, drive through the whole foot, and move the head through as the bar passes. The legs start the lift and the arms finish it.","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Plan overview","ATHX 2027 — Women's Edition — Pro division.
Assumed start: Monday 02 November 2026.
Assumed competition: Sunday 24 January 2027 (ATHX London, 23-24 Jan).
Racing Saturday 23 Jan? Shift Week 12 Sat and Sun by one day.

Twelve weeks in four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), Taper and Competition (12). Seventy-two training days, twelve rest days, twenty-four of the training days doubled AM and PM with at least six hours between them.

Loads shown are the Pro division. Where a prescription is not tiered, all three divisions share the same value.
Standards are built from the 2027 workout specifications and the 2026 movement standards. Check athxgames.com before competing.","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · MetCon X — Pro division","Row, each end: 35 cal
DB Ground to Overhead: 30 dual @ 15 kg
DB Bench Press: 30 @ 15 kg
Sandbag Squats: 30 @ 50 kg
Sandbag Carry: 30 m @ 50 kg
Burpees over bench: 30","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Endurance Zone — Pro division","Run buy-in: 3 km
Then: Max ski
Time cap: 24 min
Score: Ski metres","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Strength Zone","Window · Scoring
1RM Shoulder to Overhead: 0-5 min · Heaviest single
2RM Back Squat: 5-10 min · Heaviest double
3RM Deadlift: 10-15 min · Average of two 1-minute windows","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Benchmarks (% bodyweight)","Competitive · Advanced · Elite
1RM Shoulder to Overhead: 60-70% · 70-80% · >80%
2RM Back Squat: 110-130% · 130-155% · >155%
3RM Deadlift: 135-160% · 160-185% · >185%
Strength total (x BW): 3.1-3.6 · 3.6-4.2 · >4.2","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","AM — Aerobic Run","cardio","RUNNING","Note · Key figures","Endurance Zone cap: Twenty-four minutes, which is 1,440 seconds
Value of 15 s/km on the 3 km buy-in: 161 metres
Value of one second saved on the run: 4.17 metres
Reference ski pace used: 2:20 per 500 m
Total working time, all zones: Around sixty-nine minutes","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","Note · Upper Accumulation","Min 6 h after AM.","","","","","","","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","A1 Push Press","4 x 6 · 3 RIR","","","","","4","6","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","A2 Weighted Pull-Up or Heavy Row","4 x 8 · 3 RIR","","","","","4","8","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","B1 DB Bench Press (12.5 kg)","3 x 12","","","12.5","","3","12","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","B2 Barbell Bent-Over Row","3 x 12 · 3 RIR","","","","","3","12","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","C Half-Kneeling Z Press","3 x 10 · 3 RIR","","","","","3","10","","","","","",""
"","ATHX 2027 — Women's Pro Division","Twelve-week preparation plan for ATHX 2027 — Women's edition, Pro division loads. Starts Monday 2 November 2026 and runs to competition weekend, ATHX London on 23-24 January 2027. Four phases: Base (weeks 1-4), Development (5-8), Specific (9-11), then Taper and Competition (12). Six training days a week across 72 training days and 12 rest days, 24 of them doubled AM and PM. Trains all three competition zones — Strength, Endurance and MetCon X — and carries the plan's own fuelling, hydration, recovery, teaching and daily log prompts on each day.","hybrid","","1","PM — Upper Accumulation","strength","STRENGTH_TRAINING","Note","Push press, not strict press.","","","","","","","","","","","",""
