MetCon X,Lite,ATHX,Pro
"Row, each end",40 cal,45 cal,45 cal
DB Ground to Overhead,30 @ 15 kg,30 @ 20 kg,30 dual @ 22.5 kg
DB Bench Press,30 @ 15 kg,30 @ 20 kg,30 @ 22.5 kg
Sandbag Squats,30 @ 30 kg,30 @ 50 kg,30 @ 70 kg
Sandbag Carry,30 m @ 30 kg,30 m @ 50 kg,30 m @ 70 kg
Burpees over bench,30,30,30
Endurance Zone,Lite,ATHX,Pro
Run buy-in,2.4 km,3 km,3 km
Then,Max ski,Max ski,Max ski
Time cap,24 min,24 min,24 min
Score,Ski metres,Ski metres,Ski metres
Strength Zone,Window,Scoring,
1RM Shoulder to Overhead,0-5 min,Heaviest single,
2RM Back Squat,5-10 min,Heaviest double,
3RM Deadlift,10-15 min,Average of two 1-minute windows,
Benchmarks (% bodyweight),Competitive,Advanced,Elite
1RM Shoulder to Overhead,85-100%,100-115%,>115%
2RM Back Squat,140-165%,165-190%,>190%
3RM Deadlift,170-195%,195-220%,>220%
Strength total (x BW),4.0-4.6,4.6-5.3,>5.3
Key figures,,,
Endurance Zone cap,"Twenty-four minutes, which is 1,440 seconds",,
Value of 15 s/km on the 3 km buy-in,187 metres,,
Value of one second saved on the run,4.17 metres,,
Reference ski pace used,2:00 per 500 m,,
"Total working time, all zones",Around sixty-nine minutes,,
